C,gamma,fold,rseed,logL,acc_train,auc_train,logL_test,acc_test,auc_test
2,0.5,0,748,-2450.556368998488,0.8,0.6993048446576795,-602.0185332769333,0.8,0.6850748950417642
2,0.5,1,1131,-2595.2788520542676,0.6375,0.628172495336436,-602.4919614287207,0.5,0.5539121176369025
2,0.5,2,1452,-2570.4505797743345,0.6,0.6262747968625972,-626.1572375631092,0.4,0.5816915700106342
2,0.5,3,1926,-2384.979374728895,0.775,0.7340487476829749,-592.8126470167684,0.75,0.7122463173728042
2,0.5,4,1969,-2620.7182553455114,0.45,0.5898948912412003,-597.036404344862,0.75,0.5583325297332047
